gnome-terminal 3.54.4-1
gnome-text-editor 47.3-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-tour 47.0-2
gnome-tweaks 46.1-2
gnome-user-docs 47.5-1
gnome-user-share 47.2-1
gnome-weather 47.0-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnustep-base 1.30.0-2
gnutls 3.8.9-1
go 2:1.24.1-1
gobject-introspection 1.84.0-1
gobject-introspection-runtime 1.84.0-1
gom 0.5.3-2
gparted 1.7.0-1
gperf 3.1-5
gperftools 2.16-1
gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-4
graphviz 12.2.1-1
grep 3.11-1
grilo 0.3.16-1
grilo-plugins 1:0.3.16-1
groff 1.23.0-7
grub 2:2.12.r226.g56ccc5ed-1
grub-btrfs 4.13-2
grub-customizer 5.2.5-1
grub-theme-vimix 20190605-3
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsfonts 20200910-4
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-2
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-devtools-libs 1.26.0-1
gst-editing-services 1.26.0-1
gst-libav 1.26.0-1
gst-plugin-gtk 1.26.0-1
gst-plugin-gtk4 0.13.5-1
gst-plugin-pipewire 1:1.4.1-1
gst-plugins-bad 1.26.0-1
gst-plugins-bad-libs 1.26.0-1
gst-plugins-base 1.26.0-1
gst-plugins-base-libs 1.26.0-1
gst-plugins-good 1.26.0-1
gst-plugins-ugly 1.26.0-1
gst-python 1.26.0-1
gstreamer 1.26.0-1
gtest 1.16.0-2
gthumb 3.12.7-1
gtk-doc 1.34.0-3
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-6
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.12-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.49-1
gtk4 1:4.16.12-1
gtkmm 1:2.24.5-5
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview3 1:3.24.11+r28+g73e57b57-2
gtksourceview4 4.8.4-1
gtksourceview5 5.14.2-1
gts 0.7.6.121130-3
guile 3.0.10-1
gupnp 1:1.6.8-1
gupnp-av 0.14.3-1
gupnp-dlna 0.12.0-3
gupnp-igd 1.6.0-1
gutenprint 5.3.5-1
gvfs 1.56.1-3
gvfs-afc 1.56.1-3
gvfs-dnssd 1.56.1-3
gvfs-goa 1.56.1-3
gvfs-google 1.56.1-3
gvfs-gphoto2 1.56.1-3
gvfs-mtp 1.56.1-3
gvfs-nfs 1.56.1-3
gvfs-onedrive 1.56.1-3
gvfs-smb 1.56.1-3
gvfs-wsdd 1.56.1-3
gvim 9.1.1198-1
gzip 1.13-4
harfbuzz 10.4.0-1
harfbuzz-icu 10.4.0-1
haruna 1.3.3-2
haveged 1.9.19-1
hdparm 9.65-2
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.4.0-1
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.393-1
hwdetect 2025.03.06.1935-1
hwinfo 23.3-3
hwloc 2.12.0-1
hyphen 2.8.8-6
i2c-tools 4.4-2
i3-wm 4.24-1
i3blocks 1.5-4
i3lock 2.15-2
i3status 2.15-1
iana-etc 20250213-1
ibus 1.5.31-2
icu 76.1-1
iio-sensor-proxy 3.6-1
ijs 0.35-6
imagemagick 7.1.1.46-1
imake 1.0.10-2
imath 3.1.12-3
imlib2 1.12.4-1
inetutils 2.5-1
iniparser 4.2.6-1
intel-ucode 20250211-1
intellij-idea-ultimate-edition 2024.3.5-1
intltool 0.51.0-6
inxi 3.3.37.1-1
iproute2 6.13.0-1
iptables-nft 1:1.8.11-1
iputils 20240905-1
iso-codes 4.17.0-1
itstool 1:2.0.7-3
iw 6.9-1
iwd 3.4-1
jansson 2.14-4
jasper 4.2.4-2
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 24.u36-1
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
jose 11-3
jp2a 1.3.2-1
jq 1.7.1-2
js115 115.21.0-1
js128 128.8.0-1
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kaccounts-integration 24.12.3-1
kaccounts-providers 24.12.3-1
kamera 24.12.3-1
karchive 6.12.0-1
karchive5 5.116.0-1
kate 24.12.3-1
kauth 6.12.0-1
kauth5 5.116.0-1
kbd 2.7.1-2
kbookmarks 6.12.0-1
kbookmarks5 5.116.0-1
kcalc 24.12.3-1
kcmutils 6.12.0-1
kcodecs 6.12.0-1
kcodecs5 5.116.0-1
kcolorpicker 0.3.1-4
kcolorscheme 6.12.0-1
kcompletion 6.12.0-1
kcompletion5 5.116.0-1
